Country,Type,Disaster_Count,Deaths
Saint Martin (French Part),Storm,1,7
Saint Vincent and the Grenadines,Drought,1,0
Saint Vincent and the Grenadines,Epidemic,1,6
Saint Vincent and the Grenadines,Flood,7,15
Saint Vincent and the Grenadines,Storm,10,128
Saint Vincent and the Grenadines,Volcanic activity,3,1567
Samoa,Drought,1,0
Samoa,Earthquake,1,148
Samoa,Epidemic,1,39
Samoa,Flood,1,0
Samoa,Storm,11,303
Samoa,Wildfire,1,0
Sao Tome and Principe,Drought,1,0
Sao Tome and Principe,Epidemic,3,206
Saudi Arabia,Epidemic,3,168
Saudi Arabia,Flood,24,476
Saudi Arabia,Storm,2,3
Senegal,Drought,10,0
Senegal,Epidemic,12,1268
Senegal,Flood,23,98
Senegal,Insect infestation,5,0
Senegal,Storm,3,189
Serbia,Earthquake,1,2
Serbia,Extreme temperature,9,36
Serbia,Flood,16,58
Serbia Montenegro,Earthquake,1,1
Serbia Montenegro,Epidemic,2,0
Serbia Montenegro,Extreme temperature,2,6
Serbia Montenegro,Flood,9,14
Serbia Montenegro,Storm,1,0
Serbia Montenegro,Wildfire,1,0
Seychelles,Earthquake,1,3
Seychelles,Epidemic,2,0
Seychelles,Flood,2,5
Seychelles,Storm,2,0
Sierra Leone,Epidemic,16,5359
Sierra Leone,Flood,10,183
Sierra Leone,Landslide,2,1118
Sierra Leone,Storm,3,74
Sierra Leone,Wildfire,1,0
Singapore,Epidemic,4,36
Sint Maarten (Dutch part),Storm,1,4
Slovakia,Extreme temperature,5,128
Slovakia,Flood,13,66
Slovakia,Storm,3,3
Slovakia,Wildfire,1,6
Slovenia,Earthquake,2,1
Slovenia,Extreme temperature,2,290
Slovenia,Flood,3,3
Slovenia,Storm,3,7
Solomon Islands,Drought,3,0
Solomon Islands,Earthquake,9,365
Solomon Islands,Epidemic,2,8
Solomon Islands,Flood,5,70
Solomon Islands,Storm,19,360
Solomon Islands,Volcanic activity,1,0
Somalia,Drought,16,39673
Somalia,Earthquake,1,298
Somalia,Epidemic,29,6828
Somalia,Flood,45,2925
Somalia,Insect infestation,1,0
Somalia,Storm,7,260
South Africa,Drought,11,0
South Africa,Earthquake,5,37
South Africa,Epidemic,7,336
South Africa,Extreme temperature,3,63
South Africa,Flood,41,1376
South Africa,Landslide,1,34
South Africa,Storm,31,313
South Africa,Wildfire,10,137
South Sudan,Drought,2,0
South Sudan,Epidemic,7,286
South Sudan,Flood,13,166
South Sudan,Wildfire,1,50
Soviet Union,Drought,1,1200000
Soviet Union,Earthquake,23,144057
Soviet Union,Epidemic,2,2500000
Soviet Union,Flood,17,148
Soviet Union,Landslide,7,12325
Soviet Union,Mass movement (dry),3,102
Soviet Union,Storm,5,464
Soviet Union,Volcanic activity,1,0
Soviet Union,Wildfire,1,0
Spain,Drought,4,0
Spain,Earthquake,3,21
Spain,Epidemic,3,2
Spain,Extreme temperature,10,15627
Spain,Flood,36,1340
Spain,Landslide,1,84
Spain,Storm,27,185
Spain,Wildfire,17,74
Sri Lanka,Drought,12,0
Sri Lanka,Earthquake,1,35399
Sri Lanka,Epidemic,11,1043
Sri Lanka,Flood,74,2013
Sri Lanka,Landslide,6,360
Sri Lanka,Storm,11,1220
Sudan,Drought,9,150000
Sudan,Earthquake,2,3
Sudan,Epidemic,40,12290
Sudan,Extreme temperature,1,16
Sudan,Flood,40,1366
Sudan,Insect infestation,6,0
Sudan,Storm,2,53
Sudan,Wildfire,1,47
Suriname,Flood,3,5
Swaziland,Drought,7,500
Swaziland,Epidemic,3,142
Swaziland,Flood,3,11
Swaziland,Storm,3,54
Swaziland,Wildfire,1,2
Sweden,Epidemic,2,0
Sweden,Extreme temperature,1,0
Sweden,Flood,2,11
Sweden,Landslide,1,13
Sweden,Storm,8,19
Sweden,Wildfire,1,0
Switzerland,Epidemic,1,0
Switzerland,Extreme temperature,6,1050
Switzerland,Flood,8,10
Switzerland,Landslide,10,295
Switzerland,Mass movement (dry),1,8
Switzerland,Storm,33,28
Syrian Arab Republic,Drought,2,0
Syrian Arab Republic,Epidemic,2,88
Syrian Arab Republic,Flood,5,9
Syrian Arab Republic,Landslide,1,80
Syrian Arab Republic,Storm,4,45
Syrian Arab Republic,Wildfire,1,3
Taiwan (Province of China),Earthquake,32,10856
Taiwan (Province of China),Epidemic,2,91
Taiwan (Province of China),Extreme temperature,1,85
Taiwan (Province of China),Flood,9,119
Taiwan (Province of China),Landslide,1,14
Taiwan (Province of China),Storm,85,5817
Tajikistan,Drought,2,0
Tajikistan,Earthquake,13,286
Tajikistan,Epidemic,6,192
Tajikistan,Extreme temperature,3,1
Tajikistan,Flood,32,1624
Tajikistan,Insect infestation,1,0
Tajikistan,Landslide,13,378
Tajikistan,Mass movement (dry),1,12
Tajikistan,Storm,2,0
"Tanzania, United Republic of",Drought,10,0
"Tanzania, United Republic of",Earthquake,7,36
"Tanzania, United Republic of",Epidemic,33,9489
"Tanzania, United Republic of",Flood,51,876
"Tanzania, United Republic of",Insect infestation,3,0
"Tanzania, United Republic of",Landslide,1,13
"Tanzania, United Republic of",Storm,6,51
"Tanzania, United Republic of",Wildfire,1,0
Thailand,Drought,12,0
Thailand,Earthquake,4,8347
Thailand,Epidemic,7,241
Thailand,Extreme temperature,2,77
Thailand,Flood,83,4168
Thailand,Landslide,3,47
Thailand,Storm,41,1737
Thailand,Wildfire,1,0
Timor-Leste,Drought,2,0
Timor-Leste,Earthquake,1,0
Timor-Leste,Epidemic,2,24
Timor-Leste,Flood,6,8
Timor-Leste,Storm,1,0
Togo,Drought,3,0
Togo,Epidemic,12,1116
Togo,Flood,13,83
Togo,Storm,1,0
Tokelau,Storm,6,0
Tonga,Drought,1,0
Tonga,Earthquake,2,10
Tonga,Epidemic,2,0
Tonga,Storm,18,14
Tonga,Volcanic activity,1,0
Trinidad and Tobago,Drought,1,0
Trinidad and Tobago,Earthquake,1,0
Trinidad and Tobago,Flood,3,5
Trinidad and Tobago,Landslide,1,2
Trinidad and Tobago,Storm,7,40
Trinidad and Tobago,Volcanic activity,1,0
Tunisia,Drought,2,0
Tunisia,Earthquake,1,13
Tunisia,Flood,18,981
Tunisia,Insect infestation,2,0
Tunisia,Wildfire,1,0
Turkey,Earthquake,110,94013
Turkey,Epidemic,8,613
Turkey,Extreme temperature,7,100
Turkey,Flood,47,1401
Turkey,Landslide,14,504
Turkey,Mass movement (dry),1,261
Turkey,Storm,11,100
Turkey,Wildfire,5,15
Turkmenistan,Earthquake,1,11
Turkmenistan,Flood,1,0
Turks and Caicos Islands,Storm,7,4
Tuvalu,Drought,1,0
Tuvalu,Storm,7,6
Uganda,Drought,9,194
Uganda,Earthquake,6,115
Uganda,Epidemic,41,203698
Uganda,Flood,30,439
Uganda,Insect infestation,1,0
Uganda,Landslide,9,591
Uganda,Storm,5,31
Ukraine,Drought,1,0
Ukraine,Epidemic,3,275
Ukraine,Extreme temperature,8,1102
Ukraine,Flood,16,90
Ukraine,Storm,8,21
Ukraine,Wildfire,2,16
United Arab Emirates,Flood,1,0
United Kingdom,Earthquake,2,0
United Kingdom,Epidemic,4,71
United Kingdom,Extreme temperature,12,3640
United Kingdom,Flood,36,94
United Kingdom,Fog,1,4000
United Kingdom,Landslide,1,140
United Kingdom,Storm,42,359
United States of America,Drought,17,45
United States of America,Earthquake,45,1482
United States of America,Epidemic,5,317
United States of America,Extreme temperature,36,5201
United States of America,Flood,191,3024
United States of America,Landslide,6,679
United States of America,Storm,670,31010
United States of America,Volcanic activity,2,90
United States of America,Wildfire,87,1482
Uruguay,Drought,2,0
Uruguay,Extreme temperature,4,11
Uruguay,Flood,21,20
Uruguay,Storm,7,11
Uzbekistan,Drought,1,0
Uzbekistan,Earthquake,2,22
Uzbekistan,Epidemic,1,40
Uzbekistan,Flood,2,4
Uzbekistan,Landslide,1,24
Uzbekistan,Mass movement (dry),1,1
Vanuatu,Earthquake,8,12
Vanuatu,Epidemic,2,12
Vanuatu,Flood,2,0
Vanuatu,Landslide,1,1
Vanuatu,Storm,29,231
Vanuatu,Volcanic activity,7,0
Venezuela (Bolivarian Republic of),Drought,1,0
Venezuela (Bolivarian Republic of),Earthquake,7,423
Venezuela (Bolivarian Republic of),Epidemic,7,162
Venezuela (Bolivarian Republic of),Flood,35,30407
Venezuela (Bolivarian Republic of),Landslide,4,164
Venezuela (Bolivarian Republic of),Storm,4,124
Viet Nam,Drought,7,0
Viet Nam,Epidemic,11,1209
Viet Nam,Flood,94,6015
Viet Nam,Insect infestation,1,0
Viet Nam,Landslide,6,330
Viet Nam,Storm,123,19680
Viet Nam,Wildfire,1,0
Virgin Island (British),Storm,4,9
Virgin Island (U.S.),Storm,8,17
Wallis and Futuna,Earthquake,1,5
Wallis and Futuna,Storm,4,1
Yemen,Earthquake,1,10
Yemen,Epidemic,8,1013
Yemen,Flood,34,1005
Yemen,Landslide,3,96
Yemen,Storm,6,105
Yemen,Volcanic activity,1,6
Yemen Arab Rep,Drought,2,0
Yemen Arab Rep,Earthquake,2,2707
Yemen Arab Rep,Flood,3,150
Yemen Arab Rep,Insect infestation,2,0
Yemen P Dem Rep,Drought,2,0
Yemen P Dem Rep,Flood,5,507
Yugoslavia,Drought,1,0
Yugoslavia,Earthquake,11,1245
Yugoslavia,Epidemic,1,35
Yugoslavia,Extreme temperature,1,38
Yugoslavia,Flood,6,95
Yugoslavia,Wildfire,2,0
Zambia,Drought,5,0
Zambia,Epidemic,19,1333
Zambia,Flood,22,78
Zambia,Insect infestation,2,0
Zambia,Landslide,1,9
Zimbabwe,Drought,8,0
Zimbabwe,Epidemic,23,6349
Zimbabwe,Flood,12,313
Zimbabwe,Storm,8,942
