Country,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Total
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45
Guadeloupe,0,0,1,0,0,0,0,0,0,0,0,0,2052,0,0,2053
Guam,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18
Guatemala,0,41,27726,633,6,40922,0,0,0,0,678,59,2553,7461,0,80079
Guinea,0,12,275,3630,0,28,0,0,0,0,7,0,4,0,0,3956
Guinea-Bissau,0,0,0,3032,0,5,0,0,0,0,0,0,4,0,3,3044
Guyana,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34
Haiti,0,0,222593,7168,0,4060,0,0,0,0,262,0,15925,0,0,250008
Honduras,0,0,7,266,0,962,0,0,0,0,2800,10,24754,0,0,28799
Hong Kong,0,0,0,299,10,312,0,0,0,0,212,0,23742,0,0,24575
Hungary,0,0,0,0,841,310,0,0,0,0,0,0,60,0,0,1211
Iceland,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,51
India,0,4250320,71616,4543995,17975,75593,0,234,0,0,5126,61,166770,0,30,9131720
Indonesia,0,9340,203431,3966,0,7327,0,0,0,0,2697,131,2024,13263,319,242498
Iran (Islamic Republic of),0,0,154266,372,158,8048,0,0,0,0,128,0,352,0,0,163324
Iraq,0,0,30,38,0,144,0,0,0,0,0,0,0,0,0,212
Ireland,0,0,0,2,0,5,0,0,0,0,0,0,40,0,0,47
Israel,0,0,20,12,0,36,0,0,0,0,20,0,12,0,44,144
Italy,0,0,115607,3,20173,1116,0,0,0,0,2591,0,318,735,21,140564
Jamaica,0,0,1200,49,0,730,0,0,0,0,53,40,608,0,0,2680
Japan,0,0,188161,1,1048,13513,0,0,0,0,1084,0,34943,578,0,239328
Jordan,0,0,268,4,15,345,0,0,0,0,0,0,16,0,0,648
Kazakhstan,0,0,453,7,3,64,0,0,0,0,48,0,112,0,0,687
Kenya,0,196,1,4958,0,2039,0,0,0,0,153,0,50,0,0,7397
Kiribati,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,20
Korea (the Democratic People's Republic of),0,0,0,4,0,2778,0,0,0,0,0,0,235,0,0,3017
Kuwait,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Kyrgyzstan,0,0,132,22,27,4,0,0,0,0,273,0,4,0,0,462
Laos,0,0,0,863,0,666,0,0,0,0,0,0,74,0,0,1603
Latvia,0,0,0,0,86,0,0,0,0,0,0,0,6,0,0,92
Lebanon,0,0,136,0,0,440,0,0,0,0,0,20,48,0,1,645
Lesotho,0,0,0,56,0,66,0,0,0,0,0,0,1,0,0,123
Liberia,0,0,0,5434,0,14,0,0,0,0,0,46,0,0,0,5494
Libya,0,0,300,0,0,20,0,0,0,0,0,0,0,0,0,320
Lithuania,0,0,0,0,92,4,0,0,0,0,0,0,8,0,0,104
Luxembourg,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,170
Macao,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
Macedonia,0,0,0,0,34,32,0,0,0,0,0,0,1,0,1,68
Madagascar,0,200,0,1992,0,127,0,0,0,0,0,0,2835,0,0,5154
Malawi,0,500,13,1687,0,948,0,0,0,0,8,0,16,0,0,3172
Malaysia,0,0,104,540,0,356,0,0,0,0,96,72,296,0,0,1464
Maldives,0,0,102,223,0,0,0,0,0,0,0,0,0,0,0,325
Mali,0,0,0,3925,0,157,0,0,0,0,0,0,0,0,0,4082
Marshall Islands,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
Martinique,0,0,1,13,0,0,0,0,0,0,0,0,82,30000,0,30096
Mauritania,0,0,0,185,0,65,0,0,0,0,0,0,23,0,0,273
Mauritius,0,0,0,0,0,11,0,0,0,0,0,0,70,0,0,81
Mexico,0,0,12180,68,1188,4388,0,0,0,0,332,0,5574,1120,110,24960
Micronesia (Federated States of),0,0,0,19,0,0,0,0,0,0,0,0,58,0,0,77
Moldova,0,2,0,0,23,61,0,0,0,0,0,0,3,0,0,89
Mongolia,0,0,1200,8,5,166,0,0,0,0,17,0,143,0,25,1564
Montenegro,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,11,32,0,43
Morocco,0,0,12739,200,0,1716,0,0,0,0,16,31,64,0,0,14766
Mozambique,0,100068,4,3081,0,2392,0,0,0,0,104,0,1362,0,49,107060
Myanmar,0,0,788,74,0,902,0,0,0,0,405,17,144698,0,8,146892
Namibia,0,0,0,291,0,264,0,0,0,0,0,0,0,0,0,555
Nepal,0,0,9865,4568,267,7700,0,0,0,0,1894,150,208,0,99,24751
Netherlands,0,0,0,13,2766,2001,0,0,0,0,0,0,39,0,0,4819
Netherlands (the),0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
New Zealand,0,0,461,6700,0,32,0,0,0,0,0,0,65,171,0,7429
Nicaragua,0,0,12688,122,0,515,0,0,0,0,29,0,3955,1,0,17310
Niger,12,85000,0,110066,0,639,0,0,0,0,0,0,4,0,0,195721
Nigeria,0,0,0,26508,78,2027,0,0,0,0,32,0,254,0,0,28899
Niue,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
Northern Mariana Islands (the),0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
Norway,0,0,0,0,0,1,0,0,0,0,84,0,4,0,0,89
Oman,0,0,0,0,0,14,0,0,0,0,0,0,282,0,0,296
Pakistan,0,220,144116,403,2954,18105,0,0,0,0,805,63,12141,0,0,178807
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine, State of",0,0,0,0,3,5,0,0,0,0,0,0,5,0,0,13
Panama,0,0,32,101,0,218,0,0,0,0,0,0,143,0,0,494
Papua New Guinea,0,84,5450,448,0,86,0,0,0,0,527,86,219,3515,0,10415
Paraguay,0,16,0,97,20,199,0,0,0,0,0,0,40,0,8,380
Peru,0,0,70788,10739,2020,2243,0,0,0,0,8564,2000,653,0,0,97007
Philippines,0,8,9927,2627,0,3670,0,0,0,0,2451,361,49805,2997,2,71848
