Country,Type,Deaths
Saint Lucia,Earthquake,0
Saint Lucia,Epidemic,0
Saint Lucia,Flood,6
Saint Lucia,Landslide,0
Saint Lucia,Storm,38
Saint Lucia,Total,44
Saint Martin (French Part),Storm,7
Saint Martin (French Part),Total,7
Saint Vincent and the Grenadines,Drought,0
Saint Vincent and the Grenadines,Epidemic,6
Saint Vincent and the Grenadines,Flood,15
Saint Vincent and the Grenadines,Storm,128
Saint Vincent and the Grenadines,Volcanic activity,1567
Saint Vincent and the Grenadines,Total,1716
Samoa,Drought,0
Samoa,Earthquake,148
Samoa,Epidemic,39
Samoa,Flood,0
Samoa,Storm,303
Samoa,Wildfire,0
Samoa,Total,490
Sao Tome and Principe,Drought,0
Sao Tome and Principe,Epidemic,206
Sao Tome and Principe,Total,206
Saudi Arabia,Epidemic,168
Saudi Arabia,Flood,476
Saudi Arabia,Storm,3
Saudi Arabia,Total,647
Senegal,Drought,0
Senegal,Epidemic,1268
Senegal,Flood,98
Senegal,Insect infestation,0
Senegal,Storm,189
Senegal,Total,1555
Serbia,Earthquake,2
Serbia,Extreme temperature,36
Serbia,Flood,58
Serbia,Total,96
Serbia Montenegro,Earthquake,1
Serbia Montenegro,Epidemic,0
Serbia Montenegro,Extreme temperature,6
Serbia Montenegro,Flood,14
Serbia Montenegro,Storm,0
Serbia Montenegro,Wildfire,0
Serbia Montenegro,Total,21
Seychelles,Earthquake,3
Seychelles,Epidemic,0
Seychelles,Flood,5
Seychelles,Storm,0
Seychelles,Total,8
Sierra Leone,Epidemic,5359
Sierra Leone,Flood,183
Sierra Leone,Landslide,1118
Sierra Leone,Storm,74
Sierra Leone,Wildfire,0
Sierra Leone,Total,6734
Singapore,Epidemic,36
Singapore,Total,36
Sint Maarten (Dutch part),Storm,4
Sint Maarten (Dutch part),Total,4
Slovakia,Extreme temperature,128
Slovakia,Flood,66
Slovakia,Storm,3
Slovakia,Wildfire,6
Slovakia,Total,203
Slovenia,Earthquake,1
Slovenia,Extreme temperature,290
Slovenia,Flood,3
Slovenia,Storm,7
Slovenia,Total,301
Solomon Islands,Drought,0
Solomon Islands,Earthquake,365
Solomon Islands,Epidemic,8
Solomon Islands,Flood,70
Solomon Islands,Storm,360
Solomon Islands,Volcanic activity,0
Solomon Islands,Total,803
Somalia,Drought,39673
Somalia,Earthquake,298
Somalia,Epidemic,6828
Somalia,Flood,2925
Somalia,Insect infestation,0
Somalia,Storm,260
Somalia,Total,49984
South Africa,Drought,0
South Africa,Earthquake,37
South Africa,Epidemic,336
South Africa,Extreme temperature,63
South Africa,Flood,1376
South Africa,Landslide,34
South Africa,Storm,313
South Africa,Wildfire,137
South Africa,Total,2296
South Sudan,Drought,0
South Sudan,Epidemic,286
South Sudan,Flood,166
South Sudan,Wildfire,50
South Sudan,Total,502
Soviet Union,Drought,1200000
Soviet Union,Earthquake,144057
Soviet Union,Epidemic,2500000
Soviet Union,Flood,148
Soviet Union,Landslide,12325
Soviet Union,Mass movement (dry),102
Soviet Union,Storm,464
Soviet Union,Volcanic activity,0
Soviet Union,Wildfire,0
Soviet Union,Total,3857096
Spain,Drought,0
Spain,Earthquake,21
Spain,Epidemic,2
Spain,Extreme temperature,15627
Spain,Flood,1340
Spain,Landslide,84
Spain,Storm,185
Spain,Wildfire,74
Spain,Total,17333
Sri Lanka,Drought,0
Sri Lanka,Earthquake,35399
Sri Lanka,Epidemic,1043
Sri Lanka,Flood,2013
Sri Lanka,Landslide,360
Sri Lanka,Storm,1220
Sri Lanka,Total,40035
Sudan,Drought,150000
Sudan,Earthquake,3
Sudan,Epidemic,12290
Sudan,Extreme temperature,16
Sudan,Flood,1366
Sudan,Insect infestation,0
Sudan,Storm,53
Sudan,Wildfire,47
Sudan,Total,163775
Suriname,Flood,5
Suriname,Total,5
Swaziland,Drought,500
Swaziland,Epidemic,142
Swaziland,Flood,11
Swaziland,Storm,54
Swaziland,Wildfire,2
Swaziland,Total,709
Sweden,Epidemic,0
Sweden,Extreme temperature,0
Sweden,Flood,11
Sweden,Landslide,13
Sweden,Storm,19
Sweden,Wildfire,0
Sweden,Total,43
Switzerland,Epidemic,0
Switzerland,Extreme temperature,1050
Switzerland,Flood,10
Switzerland,Landslide,295
Switzerland,Mass movement (dry),8
Switzerland,Storm,28
Switzerland,Total,1391
Syrian Arab Republic,Drought,0
Syrian Arab Republic,Epidemic,88
Syrian Arab Republic,Flood,9
Syrian Arab Republic,Landslide,80
Syrian Arab Republic,Storm,45
Syrian Arab Republic,Wildfire,3
Syrian Arab Republic,Total,225
Taiwan (Province of China),Earthquake,10856
Taiwan (Province of China),Epidemic,91
Taiwan (Province of China),Extreme temperature,85
Taiwan (Province of China),Flood,119
Taiwan (Province of China),Landslide,14
Taiwan (Province of China),Storm,5817
Taiwan (Province of China),Total,16982
Tajikistan,Drought,0
Tajikistan,Earthquake,286
Tajikistan,Epidemic,192
Tajikistan,Extreme temperature,1
Tajikistan,Flood,1624
Tajikistan,Insect infestation,0
Tajikistan,Landslide,378
Tajikistan,Mass movement (dry),12
Tajikistan,Storm,0
Tajikistan,Total,2493
"Tanzania, United Republic of",Drought,0
"Tanzania, United Republic of",Earthquake,36
"Tanzania, United Republic of",Epidemic,9489
"Tanzania, United Republic of",Flood,876
"Tanzania, United Republic of",Insect infestation,0
"Tanzania, United Republic of",Landslide,13
"Tanzania, United Republic of",Storm,51
"Tanzania, United Republic of",Wildfire,0
"Tanzania, United Republic of",Total,10465
Thailand,Drought,0
Thailand,Earthquake,8347
Thailand,Epidemic,241
Thailand,Extreme temperature,77
Thailand,Flood,4168
Thailand,Landslide,47
Thailand,Storm,1737
Thailand,Wildfire,0
Thailand,Total,14617
Timor-Leste,Drought,0
Timor-Leste,Earthquake,0
Timor-Leste,Epidemic,24
Timor-Leste,Flood,8
Timor-Leste,Storm,0
Timor-Leste,Total,32
Togo,Drought,0
Togo,Epidemic,1116
Togo,Flood,83
Togo,Storm,0
Togo,Total,1199
Tokelau,Storm,0
Tokelau,Total,0
Tonga,Drought,0
Tonga,Earthquake,10
Tonga,Epidemic,0
Tonga,Storm,14
Tonga,Volcanic activity,0
Tonga,Total,24
Trinidad and Tobago,Drought,0
Trinidad and Tobago,Earthquake,0
Trinidad and Tobago,Flood,5
Trinidad and Tobago,Landslide,2
Trinidad and Tobago,Storm,40
Trinidad and Tobago,Volcanic activity,0
Trinidad and Tobago,Total,47
Tunisia,Drought,0
Tunisia,Earthquake,13
Tunisia,Flood,981
Tunisia,Insect infestation,0
Tunisia,Wildfire,0
Tunisia,Total,994
Turkey,Earthquake,94013
Turkey,Epidemic,613
Turkey,Extreme temperature,100
Turkey,Flood,1401
Turkey,Landslide,504
Turkey,Mass movement (dry),261
Turkey,Storm,100
Turkey,Wildfire,15
Turkey,Total,97007
Turkmenistan,Earthquake,11
Turkmenistan,Flood,0
Turkmenistan,Total,11
Turks and Caicos Islands,Storm,4
Turks and Caicos Islands,Total,4
Tuvalu,Drought,0
Tuvalu,Storm,6
Tuvalu,Total,6
Uganda,Drought,194
Uganda,Earthquake,115
Uganda,Epidemic,203698
Uganda,Flood,439
Uganda,Insect infestation,0
Uganda,Landslide,591
Uganda,Storm,31
Uganda,Total,205068
Ukraine,Drought,0
Ukraine,Epidemic,275
Ukraine,Extreme temperature,1102
Ukraine,Flood,90
Ukraine,Storm,21
Ukraine,Wildfire,16
Ukraine,Total,1504
United Arab Emirates,Flood,0
United Arab Emirates,Total,0
United Kingdom,Earthquake,0
United Kingdom,Epidemic,71
United Kingdom,Extreme temperature,3640
United Kingdom,Flood,94
United Kingdom,Fog,4000
United Kingdom,Landslide,140
United Kingdom,Storm,359
United Kingdom,Total,8304
United States of America,Drought,45
United States of America,Earthquake,1482
United States of America,Epidemic,317
United States of America,Extreme temperature,5201
United States of America,Flood,3024
United States of America,Landslide,679
United States of America,Storm,31010
United States of America,Volcanic activity,90
United States of America,Wildfire,1482
United States of America,Total,43330
Uruguay,Drought,0
Uruguay,Extreme temperature,11
Uruguay,Flood,20
Uruguay,Storm,11
Uruguay,Total,42
Uzbekistan,Drought,0
Uzbekistan,Earthquake,22
Uzbekistan,Epidemic,40
Uzbekistan,Flood,4
Uzbekistan,Landslide,24
Uzbekistan,Mass movement (dry),1
Uzbekistan,Total,91
Vanuatu,Earthquake,12
Vanuatu,Epidemic,12
Vanuatu,Flood,0
Vanuatu,Landslide,1
Vanuatu,Storm,231
Vanuatu,Volcanic activity,0
Vanuatu,Total,256
Venezuela (Bolivarian Republic of),Drought,0
Venezuela (Bolivarian Republic of),Earthquake,423
Venezuela (Bolivarian Republic of),Epidemic,162
Venezuela (Bolivarian Republic of),Flood,30407
Venezuela (Bolivarian Republic of),Landslide,164
Venezuela (Bolivarian Republic of),Storm,124
Venezuela (Bolivarian Republic of),Total,31280
Viet Nam,Drought,0
Viet Nam,Epidemic,1209
Viet Nam,Flood,6015
Viet Nam,Insect infestation,0
Viet Nam,Landslide,330
Viet Nam,Storm,19680
Viet Nam,Wildfire,0
Viet Nam,Total,27234
Virgin Island (British),Storm,9
Virgin Island (British),Total,9
Virgin Island (U.S.),Storm,17
Virgin Island (U.S.),Total,17
Wallis and Futuna,Earthquake,5
Wallis and Futuna,Storm,1
Wallis and Futuna,Total,6
Yemen,Earthquake,10
Yemen,Epidemic,1013
Yemen,Flood,1005
Yemen,Landslide,96
Yemen,Storm,105
Yemen,Volcanic activity,6
Yemen,Total,2235
Yemen Arab Rep,Drought,0
Yemen Arab Rep,Earthquake,2707
Yemen Arab Rep,Flood,150
Yemen Arab Rep,Insect infestation,0
Yemen Arab Rep,Total,2857
Yemen P Dem Rep,Drought,0
Yemen P Dem Rep,Flood,507
Yemen P Dem Rep,Total,507
Yugoslavia,Drought,0
Yugoslavia,Earthquake,1245
Yugoslavia,Epidemic,35
Yugoslavia,Extreme temperature,38
Yugoslavia,Flood,95
Yugoslavia,Wildfire,0
Yugoslavia,Total,1413
Zambia,Drought,0
Zambia,Epidemic,1333
Zambia,Flood,78
Zambia,Insect infestation,0
Zambia,Landslide,9
Zambia,Total,1420
Zimbabwe,Drought,0
Zimbabwe,Epidemic,6349
Zimbabwe,Flood,313
Zimbabwe,Storm,942
Zimbabwe,Total,7604
