Country,Type,Deaths
Cabo Verde,Storm,41
Cabo Verde,Volcanic activity,0
Cabo Verde,Total,85295
Cambodia,Drought,0
Cambodia,Epidemic,788
Cambodia,Flood,1653
Cambodia,Storm,82
Cambodia,Total,2523
Cameroon,Drought,0
Cameroon,Epidemic,4129
Cameroon,Flood,131
Cameroon,Insect infestation,0
Cameroon,Landslide,74
Cameroon,Volcanic activity,1783
Cameroon,Total,6117
Canada,Drought,0
Canada,Earthquake,27
Canada,Epidemic,50562
Canada,Extreme temperature,580
Canada,Flood,51
Canada,Landslide,144
Canada,Mass movement (dry),161
Canada,Storm,302
Canada,Wildfire,119
Canada,Total,51946
Canary Is,Extreme temperature,13
Canary Is,Flood,23
Canary Is,Storm,45
Canary Is,Wildfire,0
Canary Is,Total,81
Cayman Islands (the),Storm,2
Cayman Islands (the),Total,2
Central African Republic,Drought,0
Central African Republic,Epidemic,981
Central African Republic,Flood,16
Central African Republic,Storm,8
Central African Republic,Wildfire,1
Central African Republic,Total,1006
Chad,Drought,3000
Chad,Epidemic,7108
Chad,Flood,304
Chad,Insect infestation,0
Chad,Landslide,52
Chad,Storm,38
Chad,Total,10502
Chile,Drought,0
Chile,Earthquake,58592
Chile,Epidemic,1
Chile,Extreme temperature,8
Chile,Flood,1245
Chile,Landslide,251
Chile,Storm,273
Chile,Volcanic activity,110
Chile,Wildfire,42
Chile,Total,60522
China,Drought,3503534
China,Earthquake,652419
China,Epidemic,1561498
China,Extreme temperature,384
China,Flood,6621907
China,Insect infestation,0
China,Landslide,5833
China,Mass movement (dry),500
China,Storm,175043
China,Wildfire,314
China,Total,12521432
Colombia,Drought,0
Colombia,Earthquake,3619
Colombia,Epidemic,672
Colombia,Flood,3610
Colombia,Insect infestation,0
Colombia,Landslide,3478
Colombia,Mass movement (dry),247
Colombia,Storm,72
Colombia,Volcanic activity,22826
Colombia,Wildfire,31
Colombia,Total,34555
Comoros,Drought,0
Comoros,Earthquake,0
Comoros,Epidemic,86
Comoros,Flood,6
Comoros,Storm,567
Comoros,Volcanic activity,19
Comoros,Total,678
Congo (Kinshasa),Drought,0
Congo (Kinshasa),Earthquake,53
Congo (Kinshasa),Epidemic,16189
Congo (Kinshasa),Flood,739
Congo (Kinshasa),Landslide,434
Congo (Kinshasa),Storm,49
Congo (Kinshasa),Volcanic activity,347
Congo (Kinshasa),Wildfire,11
Congo (Kinshasa),Total,17822
Congo (the),Drought,0
Congo (the),Epidemic,4508
Congo (the),Flood,48
Congo (the),Landslide,154
Congo (the),Total,4710
Cook Islands,Epidemic,7
Cook Islands,Storm,25
Cook Islands,Total,32
Costa Rica,Drought,0
Costa Rica,Earthquake,2616
Costa Rica,Epidemic,3
Costa Rica,Flood,148
Costa Rica,Landslide,7
Costa Rica,Storm,117
Costa Rica,Volcanic activity,104
Costa Rica,Wildfire,0
Costa Rica,Total,2995
Côte d’Ivoire,Drought,0
Côte d’Ivoire,Epidemic,717
Côte d’Ivoire,Flood,197
Côte d’Ivoire,Landslide,27
Côte d’Ivoire,Total,941
Croatia,Drought,0
Croatia,Earthquake,9
Croatia,Extreme temperature,840
Croatia,Flood,4
Croatia,Storm,2
Croatia,Wildfire,13
Croatia,Total,868
Cuba,Drought,0
Cuba,Earthquake,1
Cuba,Epidemic,3
Cuba,Flood,121
Cuba,Storm,5057
Cuba,Wildfire,0
Cuba,Total,5182
Cyprus,Drought,0
Cyprus,Earthquake,42
Cyprus,Epidemic,0
Cyprus,Extreme temperature,61
Cyprus,Storm,3
Cyprus,Wildfire,0
Cyprus,Total,106
Czechia,Extreme temperature,480
Czechia,Flood,100
Czechia,Storm,11
Czechia,Total,591
Czechoslovakia,Extreme temperature,0
Czechoslovakia,Flood,0
Czechoslovakia,Landslide,24
Czechoslovakia,Storm,0
Czechoslovakia,Total,24
Denmark,Drought,0
Denmark,Storm,26
Denmark,Total,26
Djibouti,Drought,0
Djibouti,Epidemic,92
Djibouti,Flood,250
Djibouti,Insect infestation,0
Djibouti,Storm,2
Djibouti,Total,344
Dominica,Earthquake,0
Dominica,Storm,2140
Dominica,Total,2140
Dominican Republic,Drought,0
Dominican Republic,Earthquake,76
Dominican Republic,Epidemic,395
Dominican Republic,Flood,859
Dominican Republic,Storm,4522
Dominican Republic,Wildfire,0
Dominican Republic,Total,5852
Ecuador,Drought,0
Ecuador,Earthquake,12012
Ecuador,Epidemic,1015
Ecuador,Flood,1011
Ecuador,Landslide,1082
Ecuador,Mass movement (dry),60
Ecuador,Volcanic activity,6
Ecuador,Wildfire,5
Ecuador,Total,15191
Egypt,Earthquake,596
