Country,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Total
Guatemala,0,7,16,10,4,33,0,0,0,0,11,2,20,13,2,118
Guinea,0,2,1,16,0,14,0,0,0,0,1,0,1,0,1,36
Guinea-Bissau,0,6,0,8,0,4,0,0,0,3,0,0,3,0,1,25
Guyana,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,11
Haiti,0,9,3,8,0,61,0,0,0,0,2,0,45,0,0,128
Honduras,0,12,3,10,0,38,0,0,0,0,1,1,26,0,1,92
Hong Kong,0,7,0,1,1,25,0,0,0,0,6,0,65,0,32,137
Hungary,0,3,1,0,6,16,0,0,0,0,0,0,8,0,0,34
Iceland,0,0,3,0,0,1,0,0,0,0,4,0,0,5,0,13
India,0,16,26,70,60,306,0,1,0,1,51,2,203,0,4,740
Indonesia,0,10,133,35,0,235,0,0,0,0,63,1,13,59,11,560
Iran (Islamic Republic of),0,2,130,3,1,91,0,0,0,1,5,0,13,0,1,247
Iraq,0,2,2,7,0,15,0,0,0,0,0,0,0,0,0,26
Ireland,0,0,0,2,0,6,0,0,0,0,0,0,16,0,0,24
Israel,0,1,1,1,2,5,0,0,0,0,1,0,4,0,5,20
Italy,0,4,43,2,11,52,0,0,0,0,16,0,30,6,7,171
Jamaica,0,4,1,5,0,13,0,0,0,0,1,1,31,0,0,56
Japan,0,1,68,3,16,57,0,0,0,0,22,0,187,16,1,371
Jordan,0,2,1,1,2,8,0,0,0,1,0,0,3,0,0,18
Kazakhstan,0,0,2,3,3,14,0,0,0,0,1,0,1,0,1,25
Kenya,0,16,2,36,0,57,0,0,0,1,5,0,1,0,0,118
Kiribati,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,6
Korea (the Democratic People's Republic of),0,4,0,3,1,28,0,0,0,0,0,0,10,0,0,46
Kuwait,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3
Kyrgyzstan,0,1,9,3,2,4,0,0,0,0,9,0,2,0,0,30
Laos,0,6,0,9,0,28,0,0,0,0,0,0,10,0,0,53
Latvia,0,0,0,1,4,0,0,0,0,0,0,0,3,0,1,9
Lebanon,0,0,1,0,0,3,0,0,0,0,0,1,7,0,2,14
Lesotho,0,9,0,3,0,5,0,0,0,0,0,0,7,0,0,24
Liberia,0,1,0,12,1,6,0,0,0,1,0,1,2,0,0,24
Libya,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,5
Lithuania,0,3,0,0,6,2,0,0,0,0,0,0,3,0,0,14
Luxembourg,0,0,0,0,1,2,0,0,0,0,0,0,9,0,0,12
Macao,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,7
Macedonia,0,1,1,1,6,11,0,0,0,0,0,0,1,0,2,23
Madagascar,0,10,0,8,0,9,0,0,0,2,0,0,60,0,0,89
Malawi,0,8,3,15,0,42,0,0,0,0,1,0,3,0,0,72
Malaysia,0,2,2,13,0,58,0,0,0,0,4,1,8,0,4,92
Maldives,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,7
Mali,0,12,0,19,0,26,0,0,0,5,0,0,0,0,0,62
Marshall Islands,0,2,0,1,0,2,0,0,0,0,0,0,2,0,0,7
Martinique,0,0,1,1,0,0,0,0,0,0,0,0,15,1,0,18
Mauritania,0,15,0,6,0,19,0,0,0,4,0,0,3,0,0,47
Mauritius,0,1,0,2,0,1,0,0,0,0,0,0,19,0,0,23
Mexico,0,7,42,3,17,74,0,0,0,0,12,0,114,10,5,284
Micronesia (Federated States of),0,2,0,1,0,1,0,0,0,0,0,0,7,0,0,11
Moldova,0,3,0,1,3,7,0,0,0,0,0,0,2,0,0,16
Mongolia,0,1,1,3,5,11,0,0,0,0,1,0,12,0,3,37
Montenegro,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,6
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8
Morocco,0,5,4,1,6,34,0,0,0,4,2,1,4,0,0,61
Mozambique,0,14,1,29,0,41,0,0,0,1,2,0,27,0,1,116
Myanmar,0,0,10,4,0,35,0,0,0,0,10,1,21,0,2,83
Namibia,0,9,0,7,0,15,0,0,0,0,0,0,0,0,0,31
Nepal,0,6,7,20,8,51,0,0,0,0,25,1,8,0,3,129
Netherlands,0,0,1,1,8,4,0,0,0,0,0,0,25,0,0,39
Netherlands (the),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
New Caledonia,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,17
New Zealand,0,2,10,2,1,41,0,0,0,0,1,0,13,3,2,75
Nicaragua,0,6,10,13,0,23,0,0,0,0,1,0,24,5,3,85
Niger,1,16,0,44,0,31,0,0,0,6,0,0,1,0,0,99
Nigeria,0,1,0,66,2,54,0,0,0,2,3,0,6,0,0,134
Niue,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6
Northern Mariana Islands (the),0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5
