Country,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Grand Total
Lebanon,,,1,,,3,,,,,,1,7,,2,14
Lesotho,,9,,3,,5,,,,,,,7,,,24
Liberia,,1,,12,1,6,,,,1,,1,2,,,24
Libya,,,1,,,3,,,,1,,,,,,5
Lithuania,,3,,,6,2,,,,,,,3,,,14
Luxembourg,,,,,1,2,,,,,,,9,,,12
Macao,,,,1,,,,,,,,,6,,,7
Macedonia,,1,1,1,6,11,,,,,,,1,,2,23
Madagascar,,10,,8,,9,,,,2,,,60,,,89
Malawi,,8,3,15,,42,,,,,1,,3,,,72
Malaysia,,2,2,13,,58,,,,,4,1,8,,4,92
Maldives,,,1,2,,3,,,,,,,1,,,7
Mali,,12,,19,,26,,,,5,,,,,,62
Marshall Islands,,2,,1,,2,,,,,,,2,,,7
Martinique,,,1,1,,,,,,,,,15,1,,18
Mauritania,,15,,6,,19,,,,4,,,3,,,47
Mauritius,,1,,2,,1,,,,,,,19,,,23
Mexico,,7,42,3,17,74,,,,,12,,114,10,5,284
Micronesia (Federated States of),,2,,1,,1,,,,,,,7,,,11
Moldova,,3,,1,3,7,,,,,,,2,,,16
Mongolia,,1,1,3,5,11,,,,,1,,12,,3,37
Montenegro,,,,,1,4,,,,,,,,,1,6
Montserrat,,,,,,,,,,,,,4,4,,8
Morocco,,5,4,1,6,34,,,,4,2,1,4,,,61
Mozambique,,14,1,29,,41,,,,1,2,,27,,1,116
Myanmar,,,10,4,,35,,,,,10,1,21,,2,83
Namibia,,9,,7,,15,,,,,,,,,,31
Nepal,,6,7,20,8,51,,,,,25,1,8,,3,129
Netherlands,,,1,1,8,4,,,,,,,25,,,39
Netherlands (the),,,,,,,,,,,,,4,,,4
New Caledonia,,,,1,,,,,,,,,16,,,17
New Zealand,,2,10,2,1,41,,,,,1,,13,3,2,75
Nicaragua,,6,10,13,,23,,,,,1,,24,5,3,85
Niger,1,16,,44,,31,,,,6,,,1,,,99
Nigeria,,1,,66,2,54,,,,2,3,,6,,,134
Niue,,,,1,,,,,,,,,5,,,6
Northern Mariana Islands (the),,,,,,,,,,,,,4,1,,5
Norway,,,,,,3,,,,,3,,7,,,13
Oman,,,,,,4,,,,,,,11,,,15
Pakistan,,2,35,12,18,106,,,,2,23,2,29,,,229
Palau,,,,1,,,,,,,,,2,,,3
"Palestine, State of",,,,1,1,4,,,,,,,3,,,9
Panama,,4,4,5,,38,,,,,,,8,,1,60
Papua New Guinea,,3,18,7,,19,,,,,14,2,7,17,1,88
Paraguay,,9,,9,3,28,,,,,,,8,,2,59
Peru,,8,52,14,12,61,,,,1,34,2,4,4,2,194
Philippines,,10,40,22,,152,,,,2,31,3,370,28,1,659
Poland,,1,1,,19,15,,,,,,,19,,2,57
Portugal,,3,2,,6,14,,,,,,,11,,14,50
Puerto Rico,,1,3,,,8,,,,,2,,23,,,37
Qatar,,,,,,1,,,,,,,,,,1
Réunion,,,,1,,,,,,,1,,11,1,,14
Romania,,2,11,3,20,52,,,,,1,,11,,,100
Russia,,5,10,10,21,66,,,1,1,9,,21,,24,168
Rwanda,,6,2,12,,23,,,,,5,,2,,,50
Saint Barthélemy,,,,,,,,,,,,,1,,,1
"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,1,,,1
Saint Kitts and Nevis,,,,,,1,,,,,,,9,,,10
Saint Lucia,,1,1,1,,2,,,,,1,,14,,,20
Saint Martin (French Part),,,,,,,,,,,,,1,,,1
Saint Vincent and the Grenadines,,1,,1,,7,,,,,,,10,3,,22
Samoa,,1,1,1,,1,,,,,,,11,,1,16
Sao Tome and Principe,,1,,3,,,,,,,,,,,,4
Saudi Arabia,,,,3,,24,,,,,,,2,,,29
Senegal,,10,,12,,23,,,,5,,,3,,,53
Serbia,,,1,,9,16,,,,,,,,,,26
Serbia Montenegro,,,1,2,2,9,,,,,,,1,,1,16
Seychelles,,,1,2,,2,,,,,,,2,,,7
Sierra Leone,,,,16,,10,,,,,2,,3,,1,32
Singapore,,,,4,,,,,,,,,,,,4
Sint Maarten (Dutch part),,,,,,,,,,,,,1,,,1
Slovakia,,,,,5,13,,,,,,,3,,1,22
Slovenia,,,2,,2,3,,,,,,,3,,,10
Solomon Islands,,3,9,2,,5,,,,,,,19,1,,39
Somalia,,16,1,29,,45,,,,1,,,7,,,99
South Africa,,11,5,7,3,41,,,,,1,,31,,10,109
South Sudan,,2,,7,,13,,,,,,,,,1,23
Soviet Union,,1,23,2,,17,,,,,7,3,5,1,1,60
Spain,,4,3,3,10,36,,,,,1,,27,,17,101
Sri Lanka,,12,1,11,,74,,,,,6,,11,,,115
Sudan,,9,2,40,1,40,,,,6,,,2,,1,101
Suriname,,,,,,3,,,,,,,,,,3
Swaziland,,7,,3,,3,,,,,,,3,,1,17
Sweden,,,,2,1,2,,,,,1,,8,,1,15
Switzerland,,,,1,6,8,,,,,10,1,33,,,59
Syrian Arab Republic,,2,,2,,5,,,,,1,,4,,1,15
Taiwan (Province of China),,,32,2,1,9,,,,,1,,85,,,130
Tajikistan,,2,13,6,3,32,,,,1,13,1,2,,,73
"Tanzania, United Republic of",,10,7,33,,51,,,,3,1,,6,,1,112
Thailand,,12,4,7,2,83,,,,,3,,41,,1,153
Timor-Leste,,2,1,2,,6,,,,,,,1,,,12
Togo,,3,,12,,13,,,,,,,1,,,29
Tokelau,,,,,,,,,,,,,6,,,6
Tonga,,1,2,2,,,,,,,,,18,1,,24
Trinidad and Tobago,,1,1,,,3,,,,,1,,7,1,,14
Tunisia,,2,1,,,18,,,,2,,,,,1,24
Turkey,,,110,8,7,47,,,,,14,1,11,,5,203
